LABEL, Time, Target, Left Encoder Counts, Right Encoder Counts, Proportional Left, Differential Left, Proportional Right, Differential Right,
DATA, TIME, 0.08, 0, 0, 0.30, 37.50, 0.30, 37.50, 
DATA, TIME, 0.22, 0, 0, 0.90, 37.50, 0.90, 37.50, 
DATA, TIME, 3.08, 1, 0, 8.30, 12.50, 12.30, 12.50, 
DATA, TIME, 7.20, 3, 4, 16.80, -12.50, 12.80, -12.50, 
DATA, TIME, 11.55, 7, 8, 18.20, -62.50, 14.20, -62.50, 
DATA, TIME, 16.05, 12, 12, 16.20, -87.50, 16.20, -87.50, 
DATA, TIME, 20.62, 16, 17, 18.50, -62.50, 14.50, -62.50, 
DATA, TIME, 25.20, 20, 21, 20.80, -62.50, 16.80, -62.50, 
DATA, TIME, 29.85, 23, 25, 27.40, -37.50, 19.40, -37.50, 
DATA, TIME, 34.43, 27, 28, 29.70, -62.50, 25.70, -62.50, 
DATA, TIME, 39.08, 31, 32, 32.30, -62.50, 28.30, -62.50, 
DATA, TIME, 43.57, 34, 36, 38.30, -37.50, 30.30, -37.50, 
DATA, TIME, 48.23, 38, 40, 40.90, -62.50, 32.90, -62.50, 
DATA, TIME, 52.80, 42, 44, 43.20, -62.50, 35.20, -62.50, 
DATA, TIME, 57.45, 46, 48, 45.80, -62.50, 37.80, -62.50, 
DATA, TIME, 62.03, 50, 52, 48.10, -62.50, 40.10, -62.50, 
DATA, TIME, 66.60, 54, 56, 50.40, -62.50, 42.40, -62.50, 
DATA, TIME, 71.25, 58, 60, 53.00, -62.50, 45.00, -62.50, 
DATA, TIME, 75.83, 63, 65, 51.30, -87.50, 43.30, -87.50, 
DATA, TIME, 80.47, 67, 69, 53.90, -62.50, 45.90, -62.50, 
DATA, TIME, 85.05, 71, 74, 56.20, -62.50, 44.20, -62.50, 
DATA, TIME, 89.70, 75, 78, 58.80, -62.50, 46.80, -62.50, 
DATA, TIME, 94.27, 79, 82, 61.10, -62.50, 49.10, -62.50, 
DATA, TIME, 98.93, 83, 86, 63.70, -62.50, 51.70, -62.50, 
DATA, TIME, 103.42, 87, 90, 65.70, -62.50, 53.70, -62.50, 
DATA, TIME, 108.07, 92, 95, 64.30, -87.50, 52.30, -87.50, 
DATA, TIME, 112.80, 96, 100, 67.20, -62.50, 51.20, -62.50, 
DATA, TIME, 117.52, 101, 104, 66.10, -87.50, 54.10, -87.50, 
DATA, TIME, 122.40, 105, 108, 69.60, -62.50, 57.60, -62.50, 
DATA, TIME, 127.20, 110, 113, 68.80, -87.50, 56.80, -87.50, 
DATA, TIME, 132.08, 114, 118, 72.30, -62.50, 56.30, -62.50, 
DATA, TIME, 136.88, 119, 122, 71.50, -87.50, 59.50, -87.50, 
DATA, TIME, 141.75, 123, 127, 75.00, -62.50, 59.00, -62.50, 
DATA, TIME, 146.55, 128, 132, 74.20, -87.50, 58.20, -87.50, 
DATA, TIME, 151.43, 133, 136, 73.70, -87.50, 61.70, -87.50, 
DATA, TIME, 156.22, 137, 141, 76.90, -62.50, 60.90, -62.50, 
DATA, TIME, 161.10, 141, 146, 80.40, -62.50, 60.40, -62.50, 
DATA, TIME, 165.90, 146, 150, 79.60, -87.50, 63.60, -87.50, 
DATA, TIME, 170.77, 151, 154, 79.10, -87.50, 67.10, -87.50, 
DATA, TIME, 175.58, 156, 159, 78.30, -87.50, 66.30, -87.50, 
DATA, TIME, 180.45, 161, 164, 77.80, -87.50, 65.80, -87.50, 
DATA, TIME, 185.33, 165, 169, 81.30, -62.50, 65.30, -62.50, 
DATA, TIME, 190.13, 169, 174, 84.50, -62.50, 64.50, -62.50, 
DATA, TIME, 195.00, 174, 179, 84.00, -87.50, 64.00, -87.50, 
DATA, TIME, 199.80, 179, 183, 83.20, -87.50, 67.20, -87.50, 
DATA, TIME, 204.68, 184, 188, 82.70, -87.50, 66.70, -87.50, 
DATA, TIME, 209.48, 189, 192, 81.90, -87.50, 69.90, -87.50, 
DATA, TIME, 214.35, 193, 198, 85.40, -62.50, 65.40, -62.50, 
DATA, TIME, 219.15, 198, 202, 84.60, -87.50, 68.60, -87.50, 
DATA, TIME, 224.02, 203, 207, 84.10, -87.50, 68.10, -87.50, 
