LABEL, Time, Target, Left Encoder Counts, Right Encoder Counts, Proportional Left, Differential Left, Proportional Right, Differential Right,
DATA, TIME, 0.08, 0, 0, 0.08, 75.00, 0.08, 75.00, 
DATA, TIME, 0.22, 0, 0, 0.22, 75.00, 0.22, 75.00, 
DATA, TIME, 3.08, 1, 1, 2.08, 25.00, 2.08, 25.00, 
DATA, TIME, 7.13, 4, 4, 3.13, -75.00, 3.13, -75.00, 
DATA, TIME, 11.40, 8, 9, 3.40, -125.00, 2.40, -125.00, 
DATA, TIME, 15.82, 12, 13, 3.82, -125.00, 2.82, -125.00, 
DATA, TIME, 20.47, 15, 17, 5.48, -75.00, 3.48, -75.00, 
DATA, TIME, 24.90, 18, 19, 6.90, -75.00, 5.90, -75.00, 
DATA, TIME, 29.32, 20, 21, 9.33, -25.00, 8.33, -25.00, 
DATA, TIME, 33.75, 22, 23, 11.75, -25.00, 10.75, -25.00, 
DATA, TIME, 38.32, 26, 26, 12.32, -125.00, 12.32, -125.00, 
DATA, TIME, 43.13, 30, 30, 13.13, -125.00, 13.13, -125.00, 
DATA, TIME, 47.85, 33, 34, 14.85, -75.00, 13.85, -75.00, 
DATA, TIME, 52.50, 36, 37, 16.50, -75.00, 15.50, -75.00, 
DATA, TIME, 57.07, 38, 40, 19.07, -25.00, 17.07, -25.00, 
DATA, TIME, 61.65, 41, 43, 20.65, -75.00, 18.65, -75.00,
DATA, TIME, 66.30, 44, 46, 22.30, -75.00, 20.30, -75.00, 
DATA, TIME, 70.87, 48, 49, 22.87, -125.00, 21.87, -125.00, 
DATA, TIME, 75.67, 52, 52, 23.67, -125.00, 23.67, -125.00, 
DATA, TIME, 80.40, 54, 56, 26.40, -25.00, 24.40, -25.00, 
DATA, TIME, 85.05, 57, 59, 28.05, -75.00, 26.05, -75.00, 
DATA, TIME, 89.63, 60, 62, 29.63, -75.00, 27.63, -75.00, 
DATA, TIME, 94.27, 64, 65, 30.27, -125.00, 29.27, -125.00, 
DATA, TIME, 99.00, 67, 69, 32.00, -75.00, 30.00, -75.00, 
DATA, TIME, 103.58, 70, 72, 33.58, -75.00, 31.58, -75.00, 
DATA, TIME, 108.22, 74, 75, 34.22, -125.00, 33.22, -125.00, 
DATA, TIME, 113.02, 77, 79, 36.02, -75.00, 34.02, -75.00, 
DATA, TIME, 117.75, 80, 83, 37.75, -75.00, 34.75, -75.00, 
DATA, TIME, 122.40, 84, 86, 38.40, -125.00, 36.40, -125.00, 
DATA, TIME, 127.27, 87, 89, 40.28, -75.00, 38.28, -75.00, 
DATA, TIME, 131.93, 90, 92, 41.93, -75.00, 39.93, -75.00, 
DATA, TIME, 136.65, 94, 95, 42.65, -125.00, 41.65, -125.00, 
DATA, TIME, 141.45, 98, 99, 43.45, -125.00, 42.45, -125.00, 
DATA, TIME, 146.33, 101, 103, 45.32, -75.00, 43.32, -75.00, 
DATA, TIME, 151.13, 104, 107, 47.13, -75.00, 44.13, -75.00, 
DATA, TIME, 156.00, 107, 111, 49.00, -75.00, 45.00, -75.00, 
DATA, TIME, 160.80, 111, 114, 49.80, -125.00, 46.80, -125.00, 
DATA, TIME, 165.83, 115, 117, 50.82, -125.00, 48.82, -125.00, 
DATA, TIME, 170.85, 119, 120, 51.85, -125.00, 50.85, -125.00, 
DATA, TIME, 175.80, 122, 124, 53.80, -75.00, 51.80, -75.00, 
DATA, TIME, 180.67, 125, 128, 55.67, -75.00, 52.67, -75.00, 
DATA, TIME, 185.48, 128, 132, 57.48, -75.00, 53.48, -75.00, 
DATA, TIME, 190.35, 132, 136, 58.35, -125.00, 54.35, -125.00, 
DATA, TIME, 195.30, 136, 139, 59.30, -125.00, 56.30, -125.00, 
DATA, TIME, 200.33, 140, 143, 60.32, -125.00, 57.32, -125.00, 
DATA, TIME, 205.27, 144, 147, 61.27, -125.00, 58.27, -125.00, 
DATA, TIME, 210.30, 148, 150, 62.30, -125.00, 60.30, -125.00, 
DATA, TIME, 215.25, 151, 154, 64.25, -75.00, 61.25, -75.00, 
DATA, TIME, 220.13, 154, 157, 66.12, -75.00, 63.13, -75.00, 
DATA, TIME, 224.93, 158, 161, 66.93, -125.00, 63.93, -125.00, 
