LABEL, Time, Target, Left Encoder Counts, Right Encoder Counts, Proportional Left, Differential Left, Proportional Right, Differential Right,
DATA, TIME, 0.08, 0, 0, 0.75, 22.50, 0.75, 22.50, 
DATA, TIME, 0.22, 0, 0, 2.25, 22.50, 2.25, 22.50, 
DATA, TIME, 3.08, 1, 1, 20.75, 7.50, 20.75, 7.50, 
DATA, TIME, 7.13, 4, 3, 31.25, -22.50, 41.25, -22.50, 
DATA, TIME, 11.55, 8, 7, 35.50, -37.50, 45.50, -37.50, 
DATA, TIME, 15.98, 12, 12, 39.75, -37.50, 39.75, -37.50, 
DATA, TIME, 20.55, 16, 17, 45.50, -37.50, 35.50, -37.50, 
DATA, TIME, 25.20, 21, 22, 42.00, -52.50, 32.00, -52.50, 
DATA, TIME, 29.78, 25, 27, 47.75, -37.50, 27.75, -37.50, 
DATA, TIME, 34.43, 30, 32, 44.25, -52.50, 24.25, -52.50, 
DATA, TIME, 39.00, 34, 37, 50.00, -37.50, 20.00, -37.50, 
DATA, TIME, 43.57, 38, 41, 55.75, -37.50, 25.75, -37.50, 
DATA, TIME, 48.15, 43, 45, 51.50, -52.50, 31.50, -52.50, 
DATA, TIME, 52.73, 48, 49, 47.25, -52.50, 37.25, -52.50,
DATA, TIME, 57.38, 52, 54, 53.75, -37.50, 33.75, -37.50, 
DATA, TIME, 61.95, 57, 59, 49.50, -52.50, 29.50, -52.50, 
DATA, TIME, 66.60, 61, 63, 56.00, -37.50, 36.00, -37.50, 
DATA, TIME, 71.18, 66, 68, 51.75, -52.50, 31.75, -52.50, 
DATA, TIME, 75.83, 70, 73, 58.25, -37.50, 28.25, -37.50, 
DATA, TIME, 80.40, 75, 77, 54.00, -52.50, 34.00, -52.50, 
DATA, TIME, 84.97, 80, 82, 49.75, -52.50, 29.75, -52.50, 
DATA, TIME, 89.63, 84, 87, 56.25, -37.50, 26.25, -37.50, 
DATA, TIME, 94.20, 89, 91, 52.00, -52.50, 32.00, -52.50, 
DATA, TIME, 98.85, 93, 96, 58.50, -37.50, 28.50, -37.50, 
DATA, TIME, 103.35, 98, 100, 53.50, -52.50, 33.50, -52.50, 
DATA, TIME, 108.15, 103, 105, 51.50, -52.50, 31.50, -52.50, 
DATA, TIME, 112.95, 108, 110, 49.50, -52.50, 29.50, -52.50, 
DATA, TIME, 117.82, 112, 115, 58.25, -37.50, 28.25, -37.50, 
DATA, TIME, 122.62, 117, 119, 56.25, -52.50, 36.25, -52.50, 
DATA, TIME, 127.50, 122, 124, 55.00, -52.50, 35.00, -52.50, 
DATA, TIME, 132.30, 127, 129, 53.00, -52.50, 33.00, -52.50, 
DATA, TIME, 137.18, 132, 134, 51.75, -52.50, 31.75, -52.50, 
DATA, TIME, 141.98, 136, 139, 59.75, -37.50, 29.75, -37.50, 
DATA, TIME, 146.85, 141, 143, 58.50, -52.50, 38.50, -52.50, 
DATA, TIME, 151.65, 146, 148, 56.50, -52.50, 36.50, -52.50, 
DATA, TIME, 156.52, 151, 153, 55.25, -52.50, 35.25, -52.50, 
DATA, TIME, 161.33, 156, 158, 53.25, -52.50, 33.25, -52.50, 
DATA, TIME, 166.20, 160, 163, 62.00, -37.50, 32.00, -37.50, 
DATA, TIME, 171.00, 165, 167, 60.00, -52.50, 40.00, -52.50, 
DATA, TIME, 175.88, 170, 172, 58.75, -52.50, 38.75, -52.50, 
DATA, TIME, 180.67, 175, 177, 56.75, -52.50, 36.75, -52.50, 
DATA, TIME, 185.55, 180, 182, 55.50, -52.50, 35.50, -52.50, 
DATA, TIME, 190.35, 185, 187, 53.50, -52.50, 33.50, -52.50, 
DATA, TIME, 195.22, 190, 192, 52.25, -52.50, 32.25, -52.50, 
DATA, TIME, 200.03, 194, 197, 60.25, -37.50, 30.25, -37.50, 
DATA, TIME, 204.90, 199, 201, 59.00, -52.50, 39.00, -52.50, 
DATA, TIME, 209.70, 204, 206, 57.00, -52.50, 37.00, -52.50, 
DATA, TIME, 214.58, 209, 211, 55.75, -52.50, 35.75, -52.50, 
DATA, TIME, 219.38, 214, 216, 53.75, -52.50, 33.75, -52.50, 
DATA, TIME, 224.25, 219, 221, 52.50, -52.50, 32.50, -52.50, 
