DATA, TIME, 0.08, 0, 0, 0.45, 22.50, 0.37, 22.50, 
DATA, TIME, 0.22, 0, 0, 1.35, 22.50, 1.12, 22.50, 
DATA, TIME, 3.08, 0, 0, 18.45, 22.50, 15.38, 22.50, 
DATA, TIME, 7.28, 4, 4, 19.65, -37.50, 16.37, -37.50, 
DATA, TIME, 11.63, 8, 8, 21.75, -37.50, 18.12, -37.50, 
DATA, TIME, 16.12, 12, 12, 24.75, -37.50, 20.62, -37.50, 
DATA, TIME, 20.70, 16, 17, 28.20, -37.50, 18.50, -37.50, 
DATA, TIME, 25.35, 21, 22, 26.10, -52.50, 16.75, -52.50, 
DATA, TIME, 29.92, 25, 26, 29.55, -37.50, 19.62, -37.50, 
DATA, TIME, 34.58, 29, 30, 33.45, -37.50, 22.88, -37.50, 
DATA, TIME, 39.15, 33, 35, 36.90, -37.50, 20.75, -37.50, 
DATA, TIME, 43.65, 38, 40, 33.90, -52.50, 18.25, -52.50, 
DATA, TIME, 48.30, 42, 44, 37.80, -37.50, 21.50, -37.50, 
DATA, TIME, 52.88, 46, 48, 41.25, -37.50, 24.37, -37.50, 
DATA, TIME, 57.53, 51, 53, 39.15, -52.50, 22.63, -52.50, 
DATA, TIME, 62.10, 55, 57, 42.60, -37.50, 25.50, -37.50, 
DATA, TIME, 66.75, 60, 62, 40.50, -52.50, 23.75, -52.50, 
DATA, TIME, 71.32, 64, 66, 43.95, -37.50, 26.62, -37.50, 
DATA, TIME, 75.97, 68, 71, 47.85, -37.50, 24.87, -37.50, 
DATA, TIME, 80.55, 73, 76, 45.30, -52.50, 22.75, -52.50, 
DATA, TIME, 85.12, 78, 80, 42.75, -52.50, 25.62, -52.50, 
DATA, TIME, 89.77, 82, 84, 46.65, -37.50, 28.88, -37.50, 
DATA, TIME, 94.35, 86, 89, 50.10, -37.50, 26.75, -37.50, 
DATA, TIME, 99.00, 91, 94, 48.00, -52.50, 25.00, -52.50, 
DATA, TIME, 103.50, 96, 98, 45.00, -52.50, 27.50, -52.50, 
DATA, TIME, 108.22, 100, 103, 49.35, -37.50, 26.12, -37.50, 
DATA, TIME, 113.02, 105, 108, 48.15, -52.50, 25.12, -52.50, 
DATA, TIME, 117.90, 110, 112, 47.40, -52.50, 29.50, -52.50, 
DATA, TIME, 122.70, 114, 117, 52.20, -37.50, 28.50, -37.50, 
DATA, TIME, 127.57, 119, 122, 51.45, -52.50, 27.87, -52.50, 
DATA, TIME, 132.38, 124, 127, 50.25, -52.50, 26.87, -52.50, 
DATA, TIME, 137.25, 129, 132, 49.50, -52.50, 26.25, -52.50, 
DATA, TIME, 142.05, 134, 136, 48.30, -52.50, 30.25, -52.50, 
DATA, TIME, 146.93, 138, 141, 53.55, -37.50, 29.63, -37.50, 
DATA, TIME, 151.73, 143, 146, 52.35, -52.50, 28.63, -52.50, 
DATA, TIME, 156.60, 148, 151, 51.60, -52.50, 28.00, -52.50, 
DATA, TIME, 161.40, 153, 156, 50.40, -52.50, 27.00, -52.50, 
DATA, TIME, 166.27, 158, 160, 49.65, -52.50, 31.37, -52.50, 
DATA, TIME, 171.08, 162, 165, 54.45, -37.50, 30.37, -37.50, 
DATA, TIME, 175.95, 167, 170, 53.70, -52.50, 29.75, -52.50, 
DATA, TIME, 180.75, 172, 175, 52.50, -52.50, 28.75, -52.50, 
DATA, TIME, 185.63, 177, 180, 51.75, -52.50, 28.12, -52.50, 
DATA, TIME, 190.43, 182, 184, 50.55, -52.50, 32.13, -52.50, 
DATA, TIME, 195.30, 187, 189, 49.80, -52.50, 31.50, -52.50, 
DATA, TIME, 200.10, 192, 194, 48.60, -52.50, 30.50, -52.50, 
DATA, TIME, 204.98, 196, 199, 53.85, -37.50, 29.88, -37.50, 
DATA, TIME, 209.77, 201, 204, 52.65, -52.50, 28.87, -52.50, 
DATA, TIME, 214.65, 206, 208, 51.90, -52.50, 33.25, -52.50, 
DATA, TIME, 219.45, 211, 213, 50.70, -52.50, 32.25, -52.50, 
DATA, TIME, 224.33, 216, 218, 49.95, -52.50, 31.62, -52.50,
